City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ranong,9.9658,98.6348,24.3,83,72,1.32,TH,2023-03-04 20:08:13
1,bredasdorp,-34.5322,20.0403,19.84,87,93,1.75,ZA,2023-03-04 20:08:13
2,yulara,-25.2406,130.9889,19.87,21,0,1.54,AU,2023-03-04 20:08:14
3,kudahuvadhoo,2.6708,72.8944,27.16,75,74,5.04,MV,2023-03-04 20:08:14
4,hong gai,20.956,107.0946,17.95,87,1,0.82,VN,2023-03-04 20:08:14
5,rikitea,-23.1203,-134.9692,26.57,76,100,7.49,PF,2023-03-04 20:08:14
6,nizhniy kuranakh,58.8353,125.4869,-4.77,92,100,5.11,RU,2023-03-04 20:08:14
7,saint-philippe,-21.3585,55.7679,24.77,88,100,2.29,RE,2023-03-04 20:08:15
8,tasiilaq,65.6145,-37.6368,0.09,96,78,2.08,GL,2023-03-04 20:08:15
9,camana,-16.6228,-72.7111,25.17,70,47,3.35,PE,2023-03-04 20:08:15
10,geraldton,-28.7667,114.6,18.23,77,0,4.12,AU,2023-03-04 20:08:15
11,sao joao da barra,-21.6403,-41.0511,25.67,81,27,7.48,BR,2023-03-04 20:08:16
12,mataura,-46.1927,168.8643,9.15,95,76,0.2,NZ,2023-03-04 20:08:16
13,kishtwar,33.3167,75.7667,7.01,71,15,2.4,IN,2023-03-04 20:08:16
14,turukhansk,65.8167,87.9833,-19.79,98,100,4.67,RU,2023-03-04 20:08:16
15,port alfred,-33.5906,26.891,20.66,95,21,3.71,ZA,2023-03-04 20:08:17
16,albany,42.6001,-73.9662,2.91,88,100,1.83,US,2023-03-04 19:59:13
17,busselton,-33.65,115.3333,16.39,71,64,4.28,AU,2023-03-04 20:08:17
18,torbay,47.6666,-52.7314,-1.9,54,41,4.02,CA,2023-03-04 20:08:17
19,hithadhoo,-0.6,73.0833,27.79,73,55,2.71,MV,2023-03-04 20:08:18
20,waipawa,-41.4122,175.5153,13.46,82,100,3.19,NZ,2023-03-04 20:08:18
21,jamestown,42.097,-79.2353,2.77,90,100,4.12,US,2023-03-04 20:08:18
22,butaritari,3.0707,172.7902,27.19,78,100,3.23,KI,2023-03-04 20:08:18
23,bluff,-46.6,168.3333,9.33,65,79,3.4,NZ,2023-03-04 20:08:19
24,mount isa,-20.7333,139.5,22.87,100,40,0.51,AU,2023-03-04 20:08:19
25,touros,-5.1989,-35.4608,27.73,72,86,6.63,BR,2023-03-04 20:08:19
26,barrow,71.2906,-156.7887,-36.99,98,100,4.12,US,2023-03-04 20:08:19
27,hasaki,35.7333,140.8333,6.79,63,100,7.93,JP,2023-03-04 20:08:19
28,marsa matruh,31.3525,27.2453,17.81,70,17,5.13,EG,2023-03-04 20:08:20
29,kedrovyy,56.1667,91.8167,-7.77,90,100,4.79,RU,2023-03-04 20:08:20
30,port elizabeth,-33.918,25.5701,23.39,98,100,2.06,ZA,2023-03-04 20:08:20
31,avarua,-21.2078,-159.775,29.03,70,75,5.14,CK,2023-03-04 20:08:20
32,ribeira grande,38.5167,-28.7,16.22,72,75,11.62,PT,2023-03-04 20:08:21
33,ushuaia,-54.8,-68.3,7.81,61,75,9.26,AR,2023-03-04 20:05:31
34,atuona,-9.8,-139.0333,26.63,80,14,6.45,PF,2023-03-04 20:08:21
35,tobermory,45.2501,-81.6665,1.1,77,28,4.74,CA,2023-03-04 20:08:21
36,saint-pierre,-21.3393,55.4781,24.82,88,100,3.09,RE,2023-03-04 20:05:20
37,namibe,-15.1961,12.1522,21.0,71,0,4.57,AO,2023-03-04 20:08:22
38,dikson,73.5069,80.5464,-20.62,96,100,3.95,RU,2023-03-04 20:03:37
39,homer,59.6425,-151.5483,-5.07,42,0,6.17,US,2023-03-04 20:08:22
40,yellowknife,62.456,-114.3525,-24.71,70,40,5.14,CA,2023-03-04 20:08:22
41,bereda,43.2686,-7.5406,3.97,97,0,1.3,ES,2023-03-04 20:08:23
42,east london,-33.0153,27.9116,22.96,87,38,2.58,ZA,2023-03-04 20:05:45
43,tshikapa,-6.4167,20.8,24.82,74,100,1.23,CD,2023-03-04 20:08:23
44,cape town,-33.9258,18.4232,23.54,77,100,1.35,ZA,2023-03-04 20:04:06
45,gamba,-2.65,10.0,25.87,86,100,2.71,GA,2023-03-04 20:08:24
46,doba,8.65,16.85,31.09,11,76,2.66,TD,2023-03-04 20:08:24
47,kasongo-lunda,-6.4667,16.8167,22.12,96,100,1.24,CD,2023-03-04 20:08:24
48,ilulissat,69.2167,-51.1,4.01,60,40,1.54,GL,2023-03-04 20:08:24
49,pisco,-13.7,-76.2167,26.03,65,0,3.09,PE,2023-03-04 20:08:25
50,mildura,-34.2,142.15,17.95,46,0,2.22,AU,2023-03-04 20:08:25
51,hermanus,-34.4187,19.2345,19.33,92,100,4.6,ZA,2023-03-04 20:08:25
52,leningradskiy,69.3833,178.4167,-27.6,97,99,5.07,RU,2023-03-04 20:08:25
53,hilo,19.7297,-155.09,24.51,86,75,2.06,US,2023-03-04 20:08:25
54,bambous virieux,-20.3428,57.7575,27.9,81,100,2.92,MU,2023-03-04 20:08:26
55,bay roberts,47.5999,-53.2648,-1.48,51,30,4.47,CA,2023-03-04 20:08:26
56,new norfolk,-42.7826,147.0587,16.51,73,100,0.23,AU,2023-03-04 20:08:26
57,kavieng,-2.5744,150.7967,25.22,86,100,3.33,PG,2023-03-04 20:08:26
58,krasnovishersk,60.4078,57.082,-4.75,98,100,1.4,RU,2023-03-04 20:08:27
59,puerto ayora,-0.7393,-90.3518,28.98,86,62,3.13,EC,2023-03-04 20:08:27
60,kralendijk,12.15,-68.2667,25.65,83,3,11.07,BQ,2023-03-04 20:08:27
61,sangar,63.9242,127.4739,-22.86,99,100,1.28,RU,2023-03-04 20:08:27
62,vaini,-21.2,-175.2,29.09,84,75,5.14,TO,2023-03-04 20:08:27
63,wichita falls,33.9137,-98.4934,19.12,37,0,3.6,US,2023-03-04 20:08:28
64,punta arenas,-53.15,-70.9167,9.06,57,75,5.66,CL,2023-03-04 20:08:28
65,arraial do cabo,-22.9661,-42.0278,25.35,82,66,11.19,BR,2023-03-04 20:08:28
66,castro,-24.7911,-50.0119,21.97,89,56,3.26,BR,2023-03-04 20:08:28
67,soe,-9.8607,124.284,17.59,93,100,1.75,ID,2023-03-04 20:08:28
